#Solução sedimentação esfera - Runge Kutta 4 ordem 
#t    vRK4    vExato    erTrue[%] 
1.25 0.917915 0.917915 3.03096e-08
1.26 0.91954 0.91954 2.98942e-08
1.27 0.921134 0.921134 2.94837e-08
1.28 0.922695 0.922695 2.90782e-08
1.29 0.924226 0.924226 2.86775e-08
1.3 0.925726 0.925726 2.82816e-08
1.31 0.927197 0.927197 2.78905e-08
1.32 0.928639 0.928639 2.75042e-08
1.33 0.930052 0.930052 2.71225e-08
1.34 0.931437 0.931437 2.67455e-08
1.35 0.932794 0.932794 2.63731e-08
1.36 0.934125 0.934125 2.60053e-08
1.37 0.93543 0.93543 2.5642e-08
1.38 0.936708 0.936708 2.52831e-08
1.39 0.937961 0.937961 2.49287e-08
1.4 0.93919 0.93919 2.45787e-08
1.41 0.940394 0.940394 2.4233e-08
1.42 0.941574 0.941574 2.38917e-08
1.43 0.942731 0.942731 2.35546e-08
1.44 0.943865 0.943865 2.32217e-08
1.45 0.944977 0.944977 2.2893e-08
1.46 0.946066 0.946066 2.25684e-08
1.47 0.947134 0.947134 2.22479e-08
1.48 0.948181 0.948181 2.19315e-08
1.49 0.949207 0.949207 2.16191e-08
1.5 0.950213 0.950213 2.13106e-08
1.51 0.951199 0.951199 2.10061e-08
1.52 0.952165 0.952165 2.07055e-08
1.53 0.953112 0.953112 2.04087e-08
1.54 0.954041 0.954041 2.01158e-08
1.55 0.954951 0.954951 1.98266e-08
1.56 0.955843 0.955843 1.95411e-08
1.57 0.956717 0.956717 1.92593e-08
1.58 0.957574 0.957574 1.89812e-08
1.59 0.958414 0.958414 1.87067e-08
1.6 0.959238 0.959238 1.84357e-08
1.61 0.960045 0.960045 1.81684e-08
1.62 0.960836 0.960836 1.79045e-08
1.63 0.961612 0.961612 1.7644e-08
1.64 0.962372 0.962372 1.7387e-08
1.65 0.963117 0.963117 1.71334e-08
1.66 0.963847 0.963847 1.68831e-08
1.67 0.964563 0.964563 1.66361e-08
1.68 0.965265 0.965265 1.63924e-08
1.69 0.965953 0.965953 1.6152e-08
1.7 0.966627 0.966627 1.59147e-08
1.71 0.967288 0.967288 1.56806e-08
1.72 0.967935 0.967935 1.54497e-08
1.73 0.96857 0.96857 1.52218e-08
1.74 0.969193 0.969193 1.4997e-08
1.75 0.969803 0.969803 1.47752e-08
1.76 0.970401 0.970401 1.45564e-08
1.77 0.970987 0.970987 1.43406e-08
1.78 0.971561 0.971561 1.41277e-08
1.79 0.972124 0.972124 1.39177e-08
1.8 0.972676 0.972676 1.37105e-08
1.81 0.973217 0.973217 1.35062e-08
1.82 0.973748 0.973748 1.33046e-08
1.83 0.974267 0.974267 1.31058e-08
1.84 0.974777 0.974777 1.29098e-08
1.85 0.975276 0.975276 1.27164e-08
1.86 0.975766 0.975766 1.25257e-08
1.87 0.976246 0.976246 1.23376e-08
1.88 0.976716 0.976716 1.21521e-08
1.89 0.977177 0.977177 1.19692e-08
1.9 0.977629 0.977629 1.17888e-08
1.91 0.978072 0.978072 1.1611e-08
1.92 0.978506 0.978506 1.14356e-08
1.93 0.978932 0.978932 1.12626e-08
1.94 0.979349 0.979349 1.10921e-08
1.95 0.979758 0.979758 1.09239e-08
1.96 0.980159 0.980159 1.07581e-08
1.97 0.980552 0.980552 1.05946e-08
1.98 0.980937 0.980937 1.04335e-08
1.99 0.981314 0.981314 1.02746e-08
2 0.981684 0.981684 1.01179e-08
2.01 0.982047 0.982047 9.96348e-09
2.02 0.982403 0.982403 9.81122e-09
2.03 0.982751 0.982751 9.66113e-09
2.04 0.983093 0.983093 9.51316e-09
2.05 0.983427 0.983427 9.36732e-09
2.06 0.983755 0.983755 9.22354e-09
2.07 0.984077 0.984077 9.08181e-09
2.08 0.984392 0.984392 8.94212e-09
2.09 0.984701 0.984701 8.80443e-09
2.1 0.985004 0.985004 8.66872e-09
2.11 0.985301 0.985301 8.53496e-09
2.12 0.985592 0.985592 8.40312e-09
2.13 0.985878 0.985878 8.27318e-09
2.14 0.986157 0.986157 8.14511e-09
2.15 0.986431 0.986431 8.01891e-09
2.16 0.9867 0.9867 7.89453e-09
2.17 0.986963 0.986963 7.77196e-09
2.18 0.987222 0.987222 7.65117e-09
2.19 0.987475 0.987475 7.53215e-09
2.2 0.987723 0.987723 7.41484e-09
2.21 0.987966 0.987966 7.29926e-09
2.22 0.988204 0.988204 7.18537e-09
2.23 0.988438 0.988438 7.07315e-09
2.24 0.988667 0.988667 6.96256e-09
2.25 0.988891 0.988891 6.8536e-09
2.26 0.989111 0.989111 6.74626e-09
2.27 0.989327 0.989327 6.64048e-09
2.28 0.989538 0.989538 6.53626e-09
2.29 0.989745 0.989745 6.43359e-09
2.3 0.989948 0.989948 6.33244e-09
2.31 0.990147 0.990147 6.23277e-09
2.32 0.990342 0.990342 6.1346e-09
2.33 0.990534 0.990534 6.03787e-09
2.34 0.990721 0.990721 5.94259e-09
2.35 0.990905 0.990905 5.84873e-09
2.36 0.991085 0.991085 5.75625e-09
2.37 0.991261 0.991261 5.66518e-09
2.38 0.991434 0.991434 5.57546e-09
2.39 0.991604 0.991604 5.48708e-09
