#Raízes pelo método da falsa posição 
#iteração raiz erAprox
1 1.40148 1.0001
2 1.22871 0.140711
3 1.17525 0.0455923
4 1.15828 0.0147517
5 1.15284 0.00481275
6 1.1511 0.00161526
7 1.15054 0.000587129
