#Raízes pelo método híbrido 
#iteração raiz erAprox
1 1.25 1.0001
2 0.875 0.428671
3 1.0625 0.176571
4 1.15625 0.0811811
5 1.1505 0.00509378
6 1.15028 0.000292917
