#Raízes pelo método da bisseção 
#iteração raiz erAprox
1 1.25 1.0001
2 0.875 0.428671
3 1.0625 0.176571
4 1.15625 0.0811811
5 1.10938 0.0423535
6 1.13281 0.0207897
7 1.14453 0.0103389
8 1.15039 0.00519338
9 1.14746 0.00265319
10 1.14893 0.00137497
11 1.14966 0.000737078
