#Raízes pelo método da bisseção 
#iteração raiz erAprox
1 1.2 1
2 1.05 0.142857
3 0.975 0.0769231
4 1.0125 0.037037
5 0.99375 0.0188679
6 1.00313 0.00934579
7 0.998438 0.00469484
8 1.00078 0.00234192
9 0.999609 0.00117233
10 1.0002 0.000585823
